id,title,status,stated_by,source,claim,has_non_manual_test,verified_by,note,opinion,decision
R-D18,A node is a track row iff its level is schedulable,uncovered,agent,§18 D18,"Track rows are exactly the nodes on the schedulable level; indentation comes from path depth. Nothing hardcodes department, line or cell.",no,,,"add-test (vitest): likely exercised incidentally by treeView.test.ts, but nothing here names it directly — a short direct assertion would close the gap cheaply.",
R-D19,"Row windowing is hand-rolled from prefix sums, no virtualization library",uncovered,agent,§18 D19,"Row heights are computed from lane packing, not measured, so visible rows are found by prefix-sum offsets and a binary search in a pure, testable module.",no,,,"add-test (vitest): the claim itself says this was built as ""a pure, testable module"" — that module has no listed test, the clearest gap in this file.",
R-D37,A reverted edit's toast names the block,uncovered,brief,§18.6 D37,"When a drag is reverted the toast reads like ""Widget X 06:00–14:00 — reverted"". Capacity, eligibility and run-overlap errors already name the operator or cell and go through the one error path; every other error gets the block label prefixed.",no,,§18.6: popover-fired mutations still toast without a label; needs runById/assignmentById.,"Low priority: a toast-copy requirement — a wrong string is cosmetic, not correctness; accept-risk is fine short-term.",
R-D46,Density is a manual setting,superseded,agent,§18.9 §18.10 D46,"Board density (Comfortable, Standard, Compact) is chosen manually from the toolbar.",no,,Amended in §18.10 to add Fit as default and removed entirely by D75 (§19.7).,Superseded by R-D75.,
R-D66,A chip can be re-parented between runs or detached to direct,uncovered,brief,§18.13 D66,"An existing assignment can be moved to another run or detached to a direct assignment by patching run_id and product_id through the existing field-edit path, with no second write path.",no,,,add-test (sql or vitest): re-parenting/detaching through the existing field-edit path is real business logic and deserves a direct test.,
R-D67,Node paths are unique per org,covered,agent,§19.1 §19.2 D67,"(org_id, path) carries a unique index, so two roots cannot share a name and sibling names that slugify alike are refused. This closes the grant leak where a grant on one node matched another with a byte-identical path.",yes,sql | supabase/tests/70_hierarchy_test.sql,,Solid: the unique-index test directly proves the claim and closes a real grant-leak scenario.,
R-D68,A node can never become its own ancestor,covered,agent,§19.1 §19.2 D68,A BEFORE trigger named to sort before the path trigger rejects a parent that is the node itself or one of its descendants.,yes,sql | supabase/tests/70_hierarchy_test.sql,,Solid: the anti-cycle trigger is proven directly.,
R-D69,"A node sits one level below its parent, same structure",covered,agent,§19.2 D69 §19.18 §19.41,A trigger on nodes enforces that a root sits at position 0 and a child sits one position below its parent within the same hierarchy template. An escape hatch setting exists for migration tools and is honoured only for the table owner.,yes,sql | supabase/tests/70_hierarchy_test.sql ;; sql | supabase/tests/90_hierarchy_template_test.sql | cases T7,,Solid: two sql suites cover both the base rule and the migration escape hatch.,
R-D70,The level list is saved whole; array index is the position,covered,agent,§19.2 D70,"save_hierarchy_levels takes the entire ordered array for one template, capped at 64 levels, so positions can never have gaps and reordering plus moving the schedulable flag happen in one call.",yes,sql | supabase/tests/70_hierarchy_test.sql,,Solid: the whole-array contract is proven by the same suite that exercises reordering.,
R-D71,move_node re-parents only and never changes a node's level,covered,agent,§19.2 D71,The new parent must be exactly one level above the node's existing level; a move that would silently promote or demote is refused with level_mismatch.,yes,sql | supabase/tests/70_hierarchy_test.sql | cases N17,,Solid: case N17 pins the specific level_mismatch refusal described.,
R-D72,The schedulable flag cannot move while scheduled work exists,covered,agent,§19.2 D72,Moving the schedulable level is refused with schedulable_level_locked while any run or any direct assignment sits on that level. Both are counted because a direct assignment can exist with no run.,yes,sql | supabase/tests/70_hierarchy_test.sql | cases L12,,Solid: case L12 is a direct hit on the claim.,
R-D73,delete_node deactivates a whole subtree or deletes only an unused leaf,covered,agent,§19.2 D73 §19.5,"Mode deactivate cascades to the subtree; mode delete refuses while the node has children, runs or assignments. A NULL or unknown mode must never fall through to delete.",yes,sql | supabase/tests/70_hierarchy_test.sql | cases D1–D3,,Solid: both branches plus the dangerous NULL/unknown-mode case are covered.,
R-D74,"Hierarchy RPCs raise named codes, never raw constraint errors",covered,agent,§19.2 D74 §19.5 §19.18,"path_collision, node_cycle, level_mismatch, level_in_use, node_in_use and schedulable_level_locked join the closed set (twelve codes in all), every one PT409. RPCs pre-check and raise a named code, and malformed arguments such as NULL or an unparseable id return a closed-set code rather than 23502 or 22P02.",yes,sql | supabase/tests/70_hierarchy_test.sql,,"Adequate but loose: the claim lists twelve named codes but verified_by cites no case ids, so it's not clear every code in the closed set is actually exercised — worth a quick audit of the test file rather than a new one.",
R-D75,Fit is the only density mode,uncovered,agent,§19.7 D75,The three manual density buttons are removed. The fit mechanism remains and restoring the control is re-adding one button group.,no,,,add-test (vitest): a negative claim (three buttons removed) — cheap regression guard against someone re-adding the control.,
R-D76,"Chrome uses --chrome-scale, never --ui-scale",covered,agent,§18.15 §19.6 D76,"Anything outside the fitted scroll container that consumes vertical space (header, toolbar, app shell, status lines) scales with the viewport-driven --chrome-scale. --ui-scale reaches only fitted content. Otherwise fit feeds back into its own input and oscillates.",yes,vitest | src/test/scaleAudit.test.ts,,Solid: scaleAudit.test.ts is built exactly for this class of claim.,
R-D77,Portaled floating panels are chrome; the drag ghost is not,uncovered,agent,§19.10 D77,"Popovers and the toast stack scale with --chrome-scale in every dimension, not just font-size. The drag ghost stays on --ui-scale because it is a preview of a fitted block.",no,,,"add-test (vitest): scaleAudit.test.ts already covers the sibling --chrome-scale claims — this one looks like an oversight, cheap to add there.",
R-D83,Node read and edit checks are scoped to the caller's org,covered,agent,§19.15 D83,"app_can_read_node and app_can_edit_node resolve the node together with its org, so an admin or a grant in one org can never read or write another org's runs, assignments or nodes even when paths are identical.",yes,sql | supabase/tests/80_cross_org_test.sql | cases C1–C7,,"Solid: C1–C7 is a direct, thorough proof of the cross-org boundary.",
R-D84,Scaling is the unit: rem surfaces on a scaled root,covered,agent,§19.16 D84,":root font-size is 100% times --chrome-scale, guarded by @supports with a plain default, and new surfaces size in rem. Breakpoints stay in px. The board keeps calc(px * scale) because its geometry is computed in pixels.",yes,vitest | src/test/scaleAudit.test.ts,,"Solid, same scaleAudit.test.ts suite.",
R-D85,nodes_select keeps an admin short-circuit that reads no table,covered,agent,§19.17 D85 §19.40 §19.43,"The nodes SELECT policy is org_id = app_current_org() and (app_is_admin() or app_can_read_node(id)). The app_is_admin() term must answer without reading nodes, or INSERT ... RETURNING cannot see its own row and create_node breaks for everyone.",yes,sql | supabase/tests/70_hierarchy_test.sql | cases N1,,Solid: case N1 precisely pins the exact failure mode described.,
R-D86,Each site may have its own hierarchy shape,covered,maintainer,§19.16 §19.18 D86,"Levels belong to a named, org-scoped hierarchy template. One org can run Site › Department › Line › Cell at one plant and Site › Line at another, scheduling at different depths. A node's template is its level's template and a tree never straddles two templates.",yes,"sql | supabase/tests/90_hierarchy_template_test.sql | cases T6, T7",,"Solid, T6/T7 in the hierarchy template suite.",
R-D87,create_node takes a template id for a root node,covered,maintainer,§19.19 §19.20 §19.22 D87,create_node accepts p_template_id. For a root it is required when the org holds more than one template and defaults to the only one otherwise; for a child the level is resolved within the parent's template. A root must never land in an arbitrary template.,yes,"sql | supabase/tests/90_hierarchy_template_test.sql | cases T20–T28, T30–T32 ;; vitest | src/test/shapePicker.test.ts",,Solid: both the sql side and the client picker are covered.,
R-D88,"Per-site timezone: site-local axis, wall-clock shifts, Phase 2",uncovered,maintainer,§19.21 D88,"The board axis is the site's local time (D88a). A shift keeps its posted wall-clock start across a DST change, so it is 7 or 9 hours that day (D88b). The timezone hangs off a node, resolved nearest-ancestor with an org fallback. Scheduled for Phase 2 (D88c); nothing new may assume UTC.",no,,,Reasonable to leave uncovered for now — explicitly Phase 2 work with three sub-claims; flag so it isn't forgotten when that phase starts.,
R-D89,Form controls inherit font and body is sized in rem,covered,maintainer,§19.23 D89,"input, button, select, textarea and optgroup inherit font and letter-spacing globally, and body font-size is 0.8125rem, so every control scales with the root and forgetting a class costs a border, never the typeface or size. Every admin stylesheet is a rem surface.",yes,vitest | src/test/scaleAudit.test.ts,,"Solid, scaleAudit.test.ts.",
R-D90,Tree grouped by Site Structure with a level label per row,covered,maintainer,§19.24 D90,"The section is named Site Structure and the picker merges into the Levels card. Rows are grouped by template (heading only when the org holds more than one), every row shows its level name, a row with an unresolvable level lands in a trailing group rather than disappearing, and vertical guide rails show ancestry.",yes,vitest | src/test/treeView.test.ts,"§19.24 names the ""37-case treeView suite"" and cases G1–G9, K1–K6; the .test.ts filename is inferred from the module name.",Solid: the grouping and fallback-group cases map directly onto the claim.,
R-D91,No RLS-scoped read is issued before the identity is settled,covered,agent,§19.25 D91,"Query hooks take a required enabled flag driven by canQueryAsUser(userId, loading), and screens show a spinner while the session resolves. Only null means nobody; an empty-string id is an identity.",yes,vitest | src/test/session.test.ts | cases Q1–Q6,,"Solid: a precise, well-targeted suite for a subtle race condition.",
R-D92,A level save that would strand nodes is refused,covered,maintainer,§19.27 §19.29 D92,"After writing the new order, save_hierarchy_levels checks the real rows: every root in the template sits at position 0 and every child sits one below its parent. Either failing raises level_in_use and aborts, leaving the stored order untouched. Phrased as an outcome so a scrambled structure can still be repaired.",yes,"sql | supabase/tests/70_hierarchy_test.sql | cases L1, L1b, L13–L17",,Solid: covers the strand-refusal both ways.,
R-D93,Every RPC is explicitly revoked from PUBLIC and anon,covered,agent,§17.2 §19.29 §19.37 D93,"Every function in the API surface carries REVOKE EXECUTE FROM PUBLIC and anon alongside GRANT to authenticated, and every migration that creates or recreates a function carries its own grant block.",yes,sql | supabase/tests/70_hierarchy_test.sql | cases L17 ;; sql | supabase/tests/75_node_mobility_test.sql | cases M29,,"Adequate but really lint-shaped (""every migration carries its own grant block"") — the sql cases prove specific functions, not the for-all; an audit-style test (like scaleAudit's) would catch new offenders better.",
R-D94,"Siblings reorder by drag, placed before or after a row",covered,maintainer,§19.34 §19.37 D94,"Dragging a node between two siblings reorders it. The top and bottom bands of a row mean place before or after as a sibling; the middle band adopts. An insertion caret is shown, a noop canDropOn result is legal for a pure reorder, and a same-level refusal is worded as an unsupported reorder, not a lecture about levels.",yes,sql | supabase/tests/75_node_mobility_test.sql | cases M1–M8,"The server half (place_node) is built and tested; the client gesture is P1-5l, not yet built within §19.0–§19.43.",Solid: covers the reorder/adopt/refusal shape well.,
R-D95,Whole row drags with a mouse; handle alone on touch,uncovered,maintainer,§19.35 D95,"For mouse and pen the whole tree row is the drag source with a ~4px movement threshold so clicks stay clicks; on touch only the ⠿ handle drags so the page stays scrollable. The handle remains visible as the affordance. The level list gets drag-to-reorder (moveTo) in the same build, sharing one pointer mechanism.",no,,,add-test (e2e or vitest): touch-vs-mouse drag source and shared pointer mechanism are exactly the kind of gesture code that silently breaks.,
R-D97,"System admin, site admin, supervisor: no lurking",uncovered,maintainer,§19.38 D97,"A system admin has all powers on any site; a site admin changes only the site they belong to; a supervisor edits assignments only and has no access to the admin page. Admin functions must ask ""admin for this node?"" rather than ""admin at all?"".",no,,"Step 2 (hiding the admin page) is built as R-079; the tier design is open pending §19.44+. ⚠️ ONE CLAUSE HERE IS OUT OF DATE AND WAS FOUND BY WRITING A TEST AGAINST IT: ""a supervisor ... has no access to the admin page"" stopped being true at D114. Migration 0032 made a supervisor's grant enough to keep a training record — the maintainer's reason was the job, ""the supervisor will be the one who enters or uploads the training information"" — so `adminAccess` admits them and `adminSectionsFor` decides which rooms they get. The row is left as the maintainer stated it rather than quietly edited; the correction lives here, and `requireAdmin.test.tsx` G3b pins the current behaviour so nobody restores a refusal the server would contradict.",Needs reword before it needs a test: the note already flags one clause as out of date (supervisor now DOES reach the admin page per D114) — fix the wording first.,
R-D98,"A role belongs to a (person, scope) pair",uncovered,maintainer,§19.40 D98,"A person can hold several roles case by case, for example supervisor in one scope and admin in another, by carrying a role on each grant row instead of one role per profile. The cross-org escalation must be closed before multi-role is switched on.",no,,,"add-test (sql), but gate it on the cross-org escalation fix the requirement itself names as a precondition — testing now would pin a known-unsafe state.",
R-D100,"One drag surface for every screen, by default",covered,maintainer,§19.58 D100,"Drag colours, grip, ghost opacity, hover tint and cursor rules live once — `--drag-*` / `--drop-*` tokens in `tokens.css` and rules in `dragSurface.module.css` that both surfaces compose. No drag surface names `--signal-ok` directly or re-declares a shared rule; every token a surface reads is defined.",yes,"vitest | src/test/scaleAudit.test.ts | cases G1–G12 (G12 pins the needle list), R10","""D100"" is also used in §19.53 for the `dev_demo.sql` id collision, which is a defect finding, not a requirement.","Solid: a thorough, mutation-backed proof of a token-discipline claim.",
R-D101,"Shift patterns are per-site, with company defaults",covered,maintainer,§19.59 D101,"Shift patterns belong to a site; a site admin sets up their own site's patterns, a company admin may seed a default pattern that sits alongside them. Which pattern a node runs is still resolved by nearest ancestor up the tree; ownership decides who may edit a pattern, not which one applies.",yes,"sql | supabase/tests/51_shared_list_owners_test.sql | cases Q0–Q37 (shift_templates, shifts, shift_breaks policies)","The ""company default"" half was removed by D108 (no company-wide row); the per-site half stands.","Solid, but the note says the company-default half was later removed by D108 — reword the claim to just the per-site half that still applies.",
R-D102,A product's colour belongs to whoever owns the product,covered,maintainer,§19.59 §19.60 D102,"A product stores its colour as a palette token name, never a hex; the column is NOT NULL and is filled on insert with the least-used token within the owner's scope, so inserting a product never changes an existing product's colour. The palette is exactly as wide as `tokens.css` defines (four). There is no per-site colour override table.",yes,"sql | supabase/tests/51_shared_list_owners_test.sql | cases Q23, Q31, Q35 ;; sql | supabase/tests/upgrade_0023_product_colour.sql | cases V1 (existing board does not move)","Amended three times: §19.65 made the colour user-settable, §19.66 (0025) admitted a canonical hex, §19.81 (D115) balances the automatic pick across the whole org rather than per owner.","Solid, but three later amendments are noted — worth a reword pass so the claim matches current behavior rather than v1.",
R-D103,Where a thing belongs decides where it is offered,covered,maintainer,§19.65 §19.66 D103,"A product or shift pattern can belong to any node in the hierarchy, not only a plant. It is offered at every node at or below its owner and nowhere else; offering is a union across owners (a node offers many products), the ancestor test is by ltree label not string prefix, and the client mirror fails open. Company-wide was the everywhere fallback.",yes,"sql | supabase/tests/52_scope_and_colour_test.sql | cases S1–S19 (S10 union, S14 spellings, S18) ;; sql | supabase/tests/upgrade_0025_scope_widening.sql | cases 5 checks ;; vitest | src/test/scope.test.ts | cases X1–X26 (X9 union, X11 fails open; mutation Y1)",The board-side wiring of `offeredHere` landed in §19.76. Company-wide fallback removed by D108.,"Solid and thorough, though again the note says the company-wide fallback was removed by D108 — same staleness issue as D101.",
R-D104,"Tickets are called trainings, and a training has a record",covered,maintainer,§19.66 D104,"""Training"" replaces ""ticket"" in every label while `skills` / `operator_skills` keep their names. A training record carries trained-on, signed-off-by (a named person) and expiry. Trainings get their own section where a supervisor manages the catalogue and sees who holds what. It lands after the area rule.",yes,"vitest | src/test/operatorsPanel.test.tsx | cases O19–O29 (a grant sends all three facts, signer free-text)","Built across §19.85–§19.87. The signer shipped as free text, not an FK to `user_profiles` as D104 first described.","Adequate: proves the training-record shape, but the note says the signer shipped as free text rather than the FK the claim implies — reword to match what shipped.",
R-D105,"What you can set once, you must be able to change",covered,maintainer,§19.66 §19.67 D105,"Every scoped list (products, operators, shift patterns) that lets you choose where a row belongs at creation lets you change it afterwards from the edit form. ""Not supplied"" (`undefined`) and ""move it company-wide"" (`null`) are spelled differently so a rename cannot silently move a row.",yes,"vitest | src/test/scaleAudit.test.ts | cases J1–J7 (J3 asserts its own mutation applied) ;; vitest | src/test/productsPanel.test.tsx | cases T5, T6",,Solid: covers both the mutation-applies and undefined-vs-null distinction directly.,
R-D106,A control may not be named after less than it does,covered,maintainer,§19.67 D106,"When a control opens a form, its name must not be narrower than the fields in that form. A button that opens code, name and ""Belongs to"" is `Edit`, never `Rename`; a disabled control explains why.",yes,vitest | src/test/productsPanel.test.tsx | cases T1–T7,,"Solid, maps cleanly onto the naming rule.",
R-D107,"Ownership decides who may read, not only who may edit",covered,maintainer,§19.68 §19.69 D107,"A shared row is readable when it is company-wide, or when its owning node and one of the reader's grants lie on the same branch in either direction — a grant on Line 1 reads Plant 1's rows, a grant on Plant 2 does not. Company admins read everything. Dependents follow their parent: shifts their template, breaks their shift, `operator_skills` the operator. The `org_id` term stays inside every policy.",yes,"sql | supabase/tests/53_read_scoping_test.sql | cases R2, R4, R6, R7, R8, R16, R17",The company-wide branch was removed by D108. `hierarchy_templates` / `hierarchy_levels` stay org-wide readable on purpose (open).,"Solid, good spread of cases, though same staleness note as D101/D103 (company-wide branch removed by D108).",
R-D108,There is no company-wide row,covered,maintainer,§19.72 D108,"`site_node_id` is NOT NULL on `products`, `operators`, `skills` and `shift_templates`. The read rule is one sentence: you may read a row when the node that owns it and one of your grants are on the same branch, either direction; company admins read everything. No trigger fills a default owner — a client must send one.",yes,"sql | supabase/tests/55_ownership_scope_test.sql | cases N1–N18 (N12 over every row) ;; sql | supabase/tests/51_shared_list_owners_test.sql | cases Q22, Q22b ;; sql | supabase/tests/upgrade_0028_ownership_backfill.sql | cases 5 checks","For products the single owner was replaced by a list of plants in D115 (§19.81); operators, skills and shift patterns keep the single NOT NULL owner.","Solid and current — this is the D108 rewrite itself, well covered across three suites including a backfill migration check.",
R-D109,Ownership scopes any level; nothing is assigned outside it,covered,maintainer,§19.72 §19.75 D109,"A row may be owned by any node, not only a root. A run's product must be owned by an ancestor-or-self of the run's node; likewise an assignment's operator, a node's training requirements and a node's shift pattern. The refusal is `not_offered_here`. Under this rule the history read exception is provably redundant and was deleted.",yes,"sql | supabase/tests/55_ownership_scope_test.sql | cases N12, N13","The operator half gained a recorded-reason override in D113 (§19.76); the product half became ""any assigned plant covers the cell"" in D115 (§19.81) and stays absolute.",Solid: explicit dead-code deletion (the history-read exception) is a good sign of a well-maintained requirement.,
R-D110,Delete keeps the past,covered,maintainer,§19.72 §19.74 D110,"Deleting a product or person removes it from the list and from anything not yet started; completed and started runs keep their record of it. ""Not yet started"" is `lower(timerange) > now()`; a run whose start is unbounded is kept. The dialog names the counts and encourages Deactivate first; it is the site admin's call.",yes,"sql | supabase/tests/56_ (full name not given in §19.74) | cases D17, D25, D27 (31 cases) ;; sql | supabase/tests/upgrade_0029_ (full name not given) | cases 6 checks",,"Adequate but the verified_by has two files marked ""(full name not given)"" — worth filling those in so the row is actually traceable.",
R-D111,Plants copy from a starter library the company curates,superseded,maintainer,§19.72 D111,"With no company-wide rows, a plant instead copies entries from a starter library a company admin curates — shift patterns, trainings, products and people. A copy is an ordinary owned row with no link back.",no,,"§19.83 narrowed it: asked what a new plant copies, the maintainer chose structure only (R-282); parts and people arrive by CSV import. The catalogue half (D111b) is recorded as not built (§19.80). D111a (trainings per owner) is the built precondition.","Correctly superseded by R-D111a, and the note documents the split (structure vs. catalogue) well.",
R-D111a,Training names are unique per owner; site admins add their own,covered,maintainer,§19.80 D111a,"Trainings can be added by a site admin to their own site only. Names are unique per `(org, site_node_id, name)` rather than company-wide, so two plants may each hold ""Forklift""; the plant is shown beside the name, never stored as a prefix. Line 1 and Line 2 inside one plant may each hold the same name (database refuses per owner; the screen warns per plant).",yes,"sql | supabase/tests/58_trainings_per_owner_test.sql | cases T3–T8 (T5 pins the per-plant loosening, T8 the composite FK) ;; sql | supabase/tests/upgrade_0031_ (full name not given) | cases U31-1–U31-7 (U31-6: depends on NOT NULL)",,Solid: proves both the per-owner uniqueness and per-plant display rule.,
R-325,"A reader the server has granted nothing is told that, not shown empty panels",covered,agent,NEXT 4,"When the hierarchy read comes back with NO nodes for somebody who is not a company admin -- the same answer `nodes_select` gives, `app_is_admin()` or a path under `app_grant_paths(false)` -- the admin screen says so in words and renders no rail and no panels. A read that FAILED says something different and refuses to be mistaken for a permission, and that alert is reachable from every section rather than only from the Hierarchy tab.",yes,"vitest | src/test/adminNoGrants.test.tsx | cases N1-N5 (N1 the empty scope, N2 a failed read is not a permission, N5 no flash before the answer)",,"Solid: a precise, well-targeted suite distinguishing ""nothing shared"" from ""read failed,"" exactly the subtle bug this class of requirement invites.",
R-326,A certification cannot outlive the plant it was earned in,covered,maintainer,session 58 conversation,"The maintainer, asked whether cross-plant certifications should be possible at all: *""I do not want cross-plant certifications.""* `app_guard_operator_skill_scope` already refuses to CREATE a holder row whose training and person sit on different branches; the same test must be applied when either END moves. Moving a training to an owner that no longer covers one of its holders is refused, and so is moving a person away from a training they hold. ⚠️ The test is the INSERT guard's own -- containment in EITHER direction -- and not `app_owner_covers_in_org`, which is one-directional: a person owned by a whole plant may legitimately hold a training owned by one of its lines, and a rehome guard using the narrower test would refuse a move that leaves a pairing the insert guard permits.",yes,"sql | supabase/tests/68_no_cross_plant_certification_test.sql | cases C0-C7 (C1/C2 the two refusals, C3 the case the shared predicate exists for -- a training moved DOWN inside the plant while its holder owns the plant, which `app_owner_covers_in_org` would wrongly refuse -- C4 its mirror, C5/C7 moves with nobody in the way, C6 the grant guard unchanged)",,Solid — covers both refusal directions and specifically the asymmetric-predicate edge case the note explains.,
R-327,"A shift pattern can be retired, and retiring says what it does not do",covered,agent,NEXT S21,"`shift_templates.active` is reachable from the Shifts screen as Retire / Bring back, in the shape `skills.active` got in session 18. ⚠️ The flag is ADVISORY and the database enforces nothing with it — 0029's own column comment says so, `resolve_shift_template` never reads it and `board_window` does not emit it — so the client is the whole of the rule. Retiring offers the pattern no longer when pointing a place at one, detaches nothing, and changes no board; a place already running a retired pattern still shows it in its own picker; and a retired pattern that places still run says so and counts them.",yes,"vitest | src/test/shiftsPanel.test.tsx | cases S18-S22 (S21 is a regression guard against the tempting over-fix, and was green before) ;; vitest | src/test/apiShiftShape.test.ts | cases P1-P4 (the column list held against its own parser; P1/P2 verified red against a broken constant)",,"Adequate, but the requirement's claim buries an important fact (the flag is advisory only, DB enforces nothing) in an aside — reword the claim to say that plainly.",
R-328,"The audit log can be read, by the only people the server will show it to",covered,agent,NEXT Phase 1,"An Activity section on `/admin` renders `audit_log` as when / who / what / a field-level diff, newest first, keyset-paged fifty at a time and always stating whether more remain. ⚠️ TWO GATES, because `audit_log_select` is `app_is_admin() AND org_id = app_current_org()` and a site admin reading it gets ZERO ROWS, no error and no refusal — indistinguishable from ""nothing has ever changed here"". The rail hides the section and the panel independently refuses to fire the query, both on `profile.role === ""admin""`, which is the policy's own first term rather than a client rule. A subject's name comes from the snapshot, never a join: after a delete the row is gone, and after a rename the snapshot holds the name as it was.",yes,"vitest | src/test/auditAccess.test.tsx | cases who is offered the section and who is not ;; vitest | src/test/auditPanel.test.tsx | cases 15 cases including the D91 guard — the screen never claims the log is empty while the session resolves ;; vitest | src/test/auditView.test.ts | cases the pure rendering half, including the range literal and the Postgres-timestamp normalisation ;; vitest | src/test/apiAuditShape.test.ts | cases the read's column list held against its guard",,Solid — four suites (access/empty/rendering/API-shape) is thorough for one requirement.,
